,Name,Bank Holiday,Date
0,New Year's Day,1,2009-01-01
12,Good Friday,1,2009-04-10
14,Easter Monday,1,2009-04-13
17,May Day (Early May Bank Holiday),1,2009-05-04
18,Spring Bank Holiday,1,2009-05-25
23,Summer Bank Holiday,1,2009-08-31
30,Christmas,1,2009-12-25
31,Boxing Day,1,2009-12-28
32,New Year's Day,1,2010-01-01
44,Good Friday,1,2010-04-02
46,Easter Monday,1,2010-04-05
49,May Day (Early May Bank Holiday),1,2010-05-03
50,Spring Bank Holiday,1,2010-05-31
55,Summer Bank Holiday,1,2010-08-30
62,Boxing Day,1,2010-12-27
63,Christmas,1,2010-12-28
65,New Year's Day,1,2011-01-03
78,Good Friday,1,2011-04-22
81,Easter Monday,1,2011-04-25
82,May Day (Early May Bank Holiday),1,2011-05-02
83,Spring Bank Holiday,1,2011-05-30
88,Summer Bank Holiday,1,2011-08-29
95,Boxing Day,1,2011-12-26
96,Christmas,1,2011-12-27
98,New Year's Day,1,2012-01-02
110,Good Friday,1,2012-04-06
112,Easter Monday,1,2012-04-09
115,May Day (Early May Bank Holiday),1,2012-05-07
116,Spring Bank Holiday,1,2012-05-28
121,Summer Bank Holiday,1,2012-08-27
127,Christmas,1,2012-12-25
128,Boxing Day,1,2012-12-26
129,New Year's Day,1,2013-01-01
139,Good Friday,1,2013-03-29
143,Easter Monday,1,2013-04-01
146,May Day (Early May Bank Holiday),1,2013-05-06
147,Spring Bank Holiday,1,2013-05-27
152,Summer Bank Holiday,1,2013-08-26
159,Christmas,1,2013-12-25
160,Boxing Day,1,2013-12-26
161,New Year's Day,1,2014-01-01
173,Good Friday,1,2014-04-18
175,Easter Monday,1,2014-04-21
178,May Day (Early May Bank Holiday),1,2014-05-05
179,Spring Bank Holiday,1,2014-05-26
184,Summer Bank Holiday,1,2014-08-25
191,Christmas,1,2014-12-25
192,Boxing Day,1,2014-12-26
193,New Year's Day,1,2015-01-01
205,Good Friday,1,2015-04-03
207,Easter Monday,1,2015-04-06
210,May Day (Early May Bank Holiday),1,2015-05-04
211,Spring Bank Holiday,1,2015-05-25
216,Summer Bank Holiday,1,2015-08-31
223,Christmas,1,2015-12-25
224,Boxing Day,1,2015-12-28
225,New Year's Day,1,2016-01-01
235,Good Friday,1,2016-03-25
238,Easter Monday,1,2016-03-28
242,May Day (Early May Bank Holiday),1,2016-05-02
243,Spring Bank Holiday,1,2016-05-30
248,Summer Bank Holiday,1,2016-08-29
255,Boxing Day,1,2016-12-26
256,Christmas,1,2016-12-27
258,New Year's Day,1,2017-01-02
270,Good Friday,1,2017-04-14
272,Easter Monday,1,2017-04-17
275,May Day (Early May Bank Holiday),1,2017-05-01
276,Spring Bank Holiday,1,2017-05-29
281,Summer Bank Holiday,1,2017-08-28
288,Christmas,1,2017-12-25
289,Boxing Day,1,2017-12-26
290,New Year's Day,1,2018-01-01
301,Good Friday,1,2018-03-30
304,Easter Monday,1,2018-04-02
307,May Day (Early May Bank Holiday),1,2018-05-07
308,Spring Bank Holiday,1,2018-05-28
313,Summer Bank Holiday,1,2018-08-27
319,Christmas,1,2018-12-25
320,Boxing Day,1,2018-12-26
321,New Year's Day,1,2019-01-01
333,Good Friday,1,2019-04-19
336,Easter Monday,1,2019-04-22
338,May Day (Early May Bank Holiday),1,2019-05-06
339,Spring Bank Holiday,1,2019-05-27
344,Summer Bank Holiday,1,2019-08-26
351,Christmas,1,2019-12-25
352,Boxing Day,1,2019-12-26
353,New Year's Day,1,2020-01-01
365,Good Friday,1,2020-04-10
367,Easter Monday,1,2020-04-13
370,May Day (Early May Bank Holiday),1,2020-05-04
371,Spring Bank Holiday,1,2020-05-25
376,Summer Bank Holiday,1,2020-08-31
383,Christmas,1,2020-12-25
384,Boxing Day,1,2020-12-28
